OFFER,combined
Spend $100 at Pavilions,PAVILIONS Cooking & Baking
"Glad® Trash Bags, 4 OR 8 Gallon",GLAD Household Supplies Prepared Meals Crackers Food Storage
Tostitos® Toppers™,TOSTITOS Chips Dips & Salsa Sauces & Marinades
:ratio™ KETO* Friendly Cereal OR Granola,"Yogurt Cereal, Granola, & Toaster Pastries Nuts & Seeds RATIO"
"Burt's Bees® products, select varieties, at Walmart",Makeup Skin Care Hair Removal BURTS BEES WALMART
"Bio-Oil® products, select varieties",Skin Care Cooking & Baking BIO OIL
"André® California, Champagne OR Sparkling Wines, 750mL bottle",ANDRE Wine
Spend $20 at Farmer Boys,FARMER BOYS
"Any General Mills™ products, spend $50",ANNIES HOMEGROWN
Chosen Foods® Dressings,CHOSEN FOODS Cooking & Baking Dips & Salsa Dressings Condiments
Spend $30 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT
Degree for Men OR Women Dry Spray,Deodorant & Antiperspirant DEGREE
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3","Hard Seltzers, Sodas, Waters, Lemonades & Teas Malt Beverages VIZZY"
Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,Packaged Meals & Sides BACK TO THE ROOTS WALMART
Spend $40 at KFC,KFC
"Bai® Antioxidant, 6 pack, at Walmart",Fruit Juices Water Drink Mixes Tea WALMART BAI
Spend $20 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT
Spend $25 at TGI Friday's,TGI FRIDAYS Spirits Malt Beverages
"L'Oréal Paris Hair color, select varieties, spend $9 at Target",Hair Care LOREAL PARIS HAIR COLOR TARGET
"Sargento Sliced Cheese, spend $18",SARGENTO Cheese
"SKITTLES®, select sizes",Candy Fruit Juices SKITTLES
"LIFESAVERS®, any size, buy 1",LIFESAVERS Candy
"L'Oréal Paris Makeup, spend $30 at Target",LOREAL PARIS COSMETICS Makeup TARGET
Spend $115 at Tom Thumb,TOM THUMB
Any Randalls receipt,RANDALLS
Spend $75 at Randalls,RANDALLS
Shop 2 times at Randalls,RANDALLS RANDALLS FOOD MARKETS
"GATORADE® Fast Twitch®, 12-ounce single serve",GATORADE Sports Drinks Medicines & Treatments Meal Replacement Beverages
Spend $10 at Nekter,NEKTER JUICE BAR NEKTER
"Brownie Brittle® Snacks, select varieties, buy 2",BROWNIE BRITTLE Bakery Cookies
Cheerios™ Oat Crunch Berry Cereal,"Cereal, Granola, & Toaster Pastries CHEERIOS"
Glad® ForceFlex Max Strength Trash Bags,GLAD Household Supplies Prepared Meals Crackers Food Storage
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY GATORADE Sports Drinks Medicines & Treatments Meal Replacement Beverages
Spend $10 at CVS,CVS Medicines & Treatments Fruit Juices Cooking & Baking Skin Care
"OxiClean™ Laundry Stain Removers, select varieties at Walmart",WALMART OXICLEAN
Country Crock® Plant Based Cream at Walmart,COUNTRY CROCK PLANT BUTTER WALMART Nut Butters & Jam
2 Pack OR 2 Liter AND Whole Pizza at Casey's,Cooking & Baking Frozen Pizza & Pizza Snacks CASEYS GENERAL STORE
Arnold® Grains Almighty,Bread Prepared Meals Bakery ARNOLD BROWNBERRY OROWEAT
"Snuggle® Liquid Fabric Softener, at Walmart",SNUGGLE WALMART Household Supplies
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",HIDDEN VALLEY RANCH Dips & Salsa Sauces & Marinades Cooking & Baking
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS Cooking & Baking Dog Supplies KRADLE
"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT Packaged Meals & Sides BACK TO THE ROOTS
"Butterball, select varieties, spend $10 at Mariano's",BUTTERBALL MARIANOS Nut Butters & Jam Frozen Turkey
"CORE® Hydration, select varieties, buy 2 at Walmart",Water WALMART CORE HYDRATION
Spend $40 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT
"General Mills™ snacks, select brands, spend $10",BUGLES Chips
"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT Packaged Meals & Sides BACK TO THE ROOTS
"Barilla® pasta, select varieties, buy 4",Dry Pasta Chips Red Pasta Sauce Pesto Sauce BARILLA
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",GATORADE Sports Drinks Medicines & Treatments Meal Replacement Beverages
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",Makeup Skin Care Hair Removal BURTS BEES WALMART
"Arber, at Walmart",ARBER WALMART
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5","Hard Seltzers, Sodas, Waters, Lemonades & Teas Malt Beverages VIZZY"
Any Pavilions receipt,PAVILIONS Cooking & Baking
Back to the Roots Grow Kits at Walmart or The Home Depot,Packaged Meals & Sides BACK TO THE ROOTS WALMART
Any Safeway receipt,SAFEWAY Candy
"Welch's® Fruit Snacks, select varieties, 6 count+",Fruit & Vegetable Snacks WELCHS FRUIT SNACKS
Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,Packaged Meals & Sides BACK TO THE ROOTS WALMART
"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",BEN AND JERRYS Frozen Desserts
"ORBIT®, select varieties",Gum ORBIT
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS GATORADE Sports Drinks Medicines & Treatments Meal Replacement Beverages
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",Nut Butters & Jam Frozen Turkey BUTTERBALL PICK N SAVE
Hellmann's | Best Foods Vegan Dressing or Spread,Condiments Sauces & Marinades Dressings HELLMANNS BEST FOODS
"Rao's®, Pasta OR Sauce, spend $10",RAO'S Sauces & Marinades Dry Pasta Frozen Meals Alfredo & White Pasta Sauce Red Pasta Sauce Pasta & Noodles Frozen Pizza & Pizza Snacks
L'Oreal Paris True Match Foundation at Target,LOREAL PARIS COSMETICS Makeup TARGET
"Sara Lee® or Alfaros® Artesano bread, spend $20",ALFAROS Bakery Bread
Spend $220 at Albertsons,ALBERTSONS Candy
"Perfect Keto Super Reds, online at Amazon",Medicines & Treatments Nuts & Seeds AMAZON PERFECT KETO
The Rustik Oven® bread,Bread RUSTIK OVEN
Gorton's at select retailers,Frozen Seafood Jerky & Dried Meat Frozen Meals WALMART GORTONS
"Back to the Roots Seeds, at Walmart",Packaged Meals & Sides BACK TO THE ROOTS WALMART
Nature Valley™ Protein Granola,"NATURE VALLEY Nuts & Seeds Crackers Nut Butters & Jam Cookies Candy Cereal, Granola, & Toaster Pastries Dips & Salsa Trail Mix Fruit & Vegetable Snacks Chips"
Brita® Pitcher OR Dispenser,BRITA Water Household Supplies
Spend $30 at CVS,CVS Medicines & Treatments Fruit Juices Cooking & Baking Skin Care
"Back to the Roots Organic Kits and Planters, at Target",Packaged Meals & Sides BACK TO THE ROOTS TARGET
"Sir Kensington's® Condiments, buy 2",Condiments Sauces & Marinades Dressings SIR KENSINGTONS
"Perfect Keto Exogenous Ketones Powder, online at Amazon",Medicines & Treatments Nuts & Seeds AMAZON PERFECT KETO
Select Beverages AND Prepared Food Item at Casey's,Cooking & Baking Frozen Pizza & Pizza Snacks CASEYS GENERAL STORE
"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT Packaged Meals & Sides BACK TO THE ROOTS
"Barilla® pasta, select varieties, buy 2",Dry Pasta Chips Red Pasta Sauce Pesto Sauce BARILLA
Any Star Market receipt,Cooking & Baking STAR MARKET
"Squirrel, The Bedside Perch, online at Amazon",AMAZON SQUIRREL
"Fresh Bakery items, select varieties, at Casey's",Cooking & Baking Frozen Pizza & Pizza Snacks CASEYS GENERAL STORE
Ben & Jerry's® Churray For Churros™ Ice Cream,BEN AND JERRYS Frozen Desserts
Sir Kensington's® Condiments,Condiments Sauces & Marinades Dressings SIR KENSINGTONS
"Dove Hand Wash, select varieties at Target",Bath & Body Deodorant & Antiperspirant Hair Care Makeup DOVE TARGET
Spend $15 at Burger King,Cooking & Baking BURGER KING
Cameron’s Coffee EcoPods,Coffee CAMERON'S COFFEE
L'Oréal Paris True Match Foundation at Target,LOREAL PARIS COSMETICS Makeup TARGET
"Sara Lee® Delightful bread, buy 2","Bread Cheese Bakery Cereal, Granola, & Toaster Pastries Frozen Desserts SARA LEE"
"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",Fruit & Vegetable Snacks WELCHS FRUIT SNACKS
Spend $35 at Subway,SUBWAY Cooking & Baking
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT DIXON Cooking & Baking Makeup
Spend $115 at Safeway,SAFEWAY Candy
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",Frozen Desserts Frozen Breads & Doughs BREYERS MARTINS FOODS
Shop 2 times at Randalls,RANDALLS
"Jack Link's®, select varieties",JACK LINKS Jerky & Dried Meat
"Persil® ProClean®, select varieties, at Walmart",PERSIL WALMART
"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",Packaged Meals & Sides BACK TO THE ROOTS TARGET
"STARBURST®, select varieties",STARBURST Candy Fruit & Vegetable Snacks Gum
"Super Coffee, 12 ounce single serve",Coffee SUPER COFFEE
Spend $90 at Safeway,SAFEWAY Candy
Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,Cooking & Baking Frozen Pizza & Pizza Snacks CASEYS GENERAL STORE
Spend $50 at Chewy.com,CHEWY
Simply Organic Seasoning Mixes OR Spices,Cooking & Baking Sauces & Marinades SIMPLY ORGANIC
Spend $10 at KFC,KFC
Sargento Product,SARGENTO Cheese
Thomas'® Bagel Thins,Bread Frozen Breakfast Bakery THOMAS
Spend $270 at Pavilions,PAVILIONS Cooking & Baking
"Back to the Roots Soils, select varieties, at Walmart",Packaged Meals & Sides BACK TO THE ROOTS WALMART
